company,ticker,year,csrd_2025,csrd_2027,segment,industry,hq_country,base_year,external_audit_of_ESG_report,revenue_MEUR,energy_consump_GJ,water_withdraw_thm3,ghg_emis_kt,transport_emis_kt,ghg_emis_per_MEUR_revenue,water_withdraw_per_MEUR_revenue
GN Store Nord A/S,GN,2022,1,0,Large,Health Care,Denmark,2019,0,2511.84068,99349.19992,73.073,8.475,530.19,0.0033740197248497464,0.02909141514500832
Danske Bank A/S,DANSKE,2019,1,0,Large,Finance,Denmark,2019,1,6023.21,387414.0,,5.27,9.96,0.0008749487399575973,
Danske Bank A/S,DANSKE,2020,1,0,Large,Finance,Denmark,2019,1,5695.41,358452.0,,3.929,3.942,0.0006898537594308399,
Danske Bank A/S,DANSKE,2021,1,0,Large,Finance,Denmark,2019,1,7757.69,338022.0,41.999,8.824,1.161,0.0011374519992420425,0.005413853866292673
Danske Bank A/S,DANSKE,2022,1,0,Large,Finance,Denmark,2019,1,10655.7,,,8.179,4.641,0.0007675704083260602,
Solar A/S,SOLAR,2019,1,0,Mid,Industrial Goods and Services,Denmark,2019,0,1563.453815,,,,,,
Solar A/S,SOLAR,2020,1,0,Mid,Industrial Goods and Services,Denmark,2019,0,1540.89,90210.0,,,,,
Solar A/S,SOLAR,2021,1,0,Mid,Industrial Goods and Services,Denmark,2019,0,1653.815261,89429.0,23.204,7.69,,0.004649854298327218,0.014030587664289306
Solar A/S,SOLAR,2022,1,0,Mid,Industrial Goods and Services,Denmark,2019,1,1863.415602,146762.0,20.751,5.92,,0.003176961700678086,0.011136002069386988
H. Lundbeck A/S,LUN,2019,1,0,Large,Health Care,Denmark,2019,0,2280.589023,335293.2,285.651,17.056,15519.6,0.007478769663445846,0.12525316798387484
H. Lundbeck A/S,LUN,2020,1,0,Large,Health Care,Denmark,2019,1,2365.729585,362606.4,238.008,,,,0.1006065957449655
H. Lundbeck A/S,LUN,2022,1,0,Large,Health Care,Denmark,2019,1,2452.563014,374414.3997,219.159,38.443,87.26,0.015674622743862353,0.08935917191483832
NKT Holding A/S,NKT,2019,1,0,Large,Industrial Goods and Services,Denmark,2019,0,1342.4,,,,,,
NKT Holding A/S,NKT,2020,1,0,Large,Industrial Goods and Services,Denmark,2019,0,1503.3,779544.0,130.105,25.496,20.306,0.016960021286503025,0.08654626488392203
NKT Holding A/S,NKT,2021,1,0,Large,Industrial Goods and Services,Denmark,2019,1,1906.7,848624.4,128.709,16.1,1242.0,0.008443908323281062,0.06750354014789951
NKT Holding A/S,NKT,2022,1,0,Large,Industrial Goods and Services,Denmark,2019,1,2079.0,846259.2,174.779,13.377,10.3879,0.006434343434343435,0.08406878306878307
Vestjysk Bank A/S,VJBA,2019,0,1,Mid,Finance,Denmark,2019,0,141.26,,,,,,
Vestjysk Bank A/S,VJBA,2020,0,1,Mid,Finance,Denmark,2019,0,118.7416332,,,,,,
Vestjysk Bank A/S,VJBA,2021,0,1,Mid,Finance,Denmark,2019,0,106.2247657,,,,,,
Vestjysk Bank A/S,VJBA,2022,0,1,Mid,Finance,Denmark,2019,0,113.044256,20099.97604,1.0693,0.455,0.006645,0.00402497230819052,0.009459127228896972
Jyske Bank A/S,JYSK,2019,1,0,Large,Finance,Denmark,2019,0,1135.742972,78431.0,,7.326,1.464,0.006450403111101091,
Jyske Bank A/S,JYSK,2020,1,0,Large,Finance,Denmark,2019,0,1633.333333,72532.0,,6.82,0.705,0.004175510204933778,
Jyske Bank A/S,JYSK,2021,1,0,Large,Finance,Denmark,2019,1,1231.593039,78957.0,17.357,2.904,2044.198,0.002357921738789561,0.01409312934578871
Jyske Bank A/S,JYSK,2022,1,0,Large,Finance,Denmark,2019,1,860.8031099,68752.0,17.775,2.13,1848.817,0.0024744334395439666,0.020649321308870424
Sydbank A/S,SYDB,2019,1,0,Mid,Finance,Denmark,2019,1,482.1954485,24287.2488,14.07,2.712,,0.0056242754020935145,0.0291790394201533
Sydbank A/S,SYDB,2021,1,0,Mid,Finance,Denmark,2019,0,569.210174,57981.0,14.447,1.927,0.269,0.0033853927565251143,0.02538078316217868
Sydbank A/S,SYDB,2022,1,0,Mid,Finance,Denmark,2019,0,698.1558148,50684.0,13.843,1.607,0.45,0.0023017784367524827,0.019827952022379976
Sydbank A/S,SYDB,2020,1,0,Mid,Finance,Denmark,2019,1,491.2985274,23190.8688,14.419,2.212,,0.004502354223828272,0.029348754770967385
H+H International A/S,HH,2019,1,0,Mid,Basic Materials,Denmark,2019,0,380.1874163,2420142.0,1637.094,197.523,,0.519541130325412,4.30601837360181
H+H International A/S,HH,2020,1,0,Mid,Basic Materials,Denmark,2019,0,355.2878179,2136456.0,1376.672,170.513,,0.47992920502552366,3.874807777359484
H+H International A/S,HH,2021,1,0,Mid,Basic Materials,Denmark,2019,0,404.2838019,2396080.0,1519.616,185.643,631.996,0.459189804606416,3.758785271282965
H+H International A/S,HH,2022,1,0,Mid,Basic Materials,Denmark,2019,0,484.434647,2487149.0,2696.73,176.25,688.192,0.36382616538985907,5.56675707796763
Alm. Brand A/S,ALMB,2019,1,0,Large,Finance,Denmark,2019,0,1152.63,54414.0,,,,,
Alm. Brand A/S,ALMB,2020,1,0,Large,Finance,Denmark,2019,0,1152.342704,,,,,,
Alm. Brand A/S,ALMB,2022,1,0,Large,Finance,Denmark,2019,0,1126.410066,44863.19996,,2.021,,0.0017941956140154025,
Bavarian Nordic A/S,BAVA,2019,0,1,Large,Health Care,Denmark,2019,1,88.68647925,34138.8,14.77,2.087,,0.02353233568013131,0.16654173358674623
Bavarian Nordic A/S,BAVA,2021,0,1,Large,Health Care,Denmark,2019,1,259.4862115,42577.0,17.023,2.506,,0.009657545907790941,0.06560271507914014
Bavarian Nordic A/S,BAVA,2022,0,1,Large,Health Care,Denmark,2019,0,423.5184905,53325.0,21.772,2.753,,0.006500306507868988,0.051407436719696185
Bavarian Nordic A/S,BAVA,2020,0,1,Large,Health Care,Denmark,2019,1,247.9763052,45108.0,19.17,2.556,,0.010307436421953753,0.07730577316465316
ALK Abelló A/S,ALK,2019,1,0,Large,Health Care,Denmark,2019,0,434.6720214,164639.0,122.461,7.552,,0.017374019095308627,0.2817319587434573
ALK Abelló A/S,ALK,2020,1,0,Large,Health Care,Denmark,2019,0,323.8286479,163580.4,110.53,6.612,,0.02041820587177272,0.34132248865805176
ALK Abelló A/S,ALK,2021,1,0,Large,Health Care,Denmark,2019,0,524.2302544,164469.6,127.52,11.258,,0.02147529621861519,0.2432518896604911
ALK Abelló A/S,ALK,2022,1,0,Large,Health Care,Denmark,2019,0,606.3527216,168480.0,140.192,10.186,5.8,0.01679880313412615,0.23120536117999343
Spar Nord Bank A/S,SPNO,2019,1,0,Mid,Finance,Denmark,2019,0,446.854083,,,2826.0,2737.0,6.324212103036776,
Spar Nord Bank A/S,SPNO,2020,1,0,Mid,Finance,Denmark,2019,0,445.2476573,36305.0,,2.2,0.248,0.004941070354734464,
Jutlander Bank A/S,JUTBK,2019,0,1,Mid,Finance,Denmark,2019,0,137.4706827,,,,,,
Jutlander Bank A/S,JUTBK,2020,0,1,Mid,Finance,Denmark,2019,0,125.3866131,,,,,,
DSV A/S (formerly: DSV Panalpina A/S),DSV,2019,1,0,Large,Industrial Goods and Services,Denmark,2019,0,12677.51004,,1596.0,159.0,9874.0,0.012541895017107004,0.12589222922831936
DSV A/S (formerly: DSV Panalpina A/S),DSV,2022,1,0,Large,Industrial Goods and Services,Denmark,2019,0,31677.25873,5091000.0,1274.0,441.0,15489.0,0.013921659186448169,0.040218126538628045
