,comp_name,ticker,year,gvkey,org_number,isin,finbas_id,segment,industry,supersector,supersector_icb,hq_country,ceo_sust_statem,reported_curr,sales,env_policy,ep_targets,env_impact_red,energy_consump,incr_renew_en,disclosure_raw,resource_target,water_withdraw,water_disclose,ghg_emis,transport_emis,years_es_report,audit_es_report,su_guidelines,su_aud_disclose,su_eva_disclose,su_env_assess,earn_per_share,combined
62,Odfjell Drilling Ltd,ODL,2022.0,254664.0,NO987692855,BMG671801022,69250,Mid,Oil & Gas,Energy,6010,Bermuda,,USD,616.3058381,Y,Y,Y,2612987,N,N,Y,ND,N,192.3321945,215.239,2,N,Y,Y,N,Y,0.486207379,Odfjell Drilling Ltd (ODL)
63,Odfjell Drilling Ltd,ODL,2016.0,316233.0,NO984669151,BMG671801022,6925,Mid,Oil & Gas,Oil & Gas,500,Bermuda,N,USD,625.7,Y,Y,N,ND,N,N,N,ND,N,ND,ND,ND,N,N,N,N,N,0.3,Odfjell Drilling Ltd (ODL)
64,Odfjell Drilling Ltd,ODL,2017.0,316233.0,NO984669151,BMG671801022,6925,Mid,Oil & Gas,Oil & Gas,500,Bermuda,Y,USD,551.8,Y,N,N,ND,N,N,N,ND,N,ND,ND,5,N,Y,N,Y,Y,0.2,Odfjell Drilling Ltd (ODL)
65,Odfjell Drilling Ltd,ODL,2019.0,316233.0,NO984669151,BMG671801022,6925,Mid,Oil & Gas Drilling,Energy,6010,Norway,Y,USD,734.9955357,Y,Y,Y,10875600,N,N,Y,ND,N,ND,ND,2,N,Y,0.09,Y,Y,125,Odfjell Drilling Ltd (ODL)
66,Seadrill Ltd,SDRL,2014.0,273726.0,ND,BMG7945E1057,5326,Large,Oil & Gas,Oil & Gas,500,Bermuda,N,USD,3621,N,N,N,ND,N,N,N,ND,N,ND,ND,ND,N,N,N,N,N,6.01,Seadrill Ltd (SDRL)
67,Seadrill Ltd,SDRL,2015.0,273726.0,ND,BMG7945E1057,5326,Mid,Oil & Gas,Oil & Gas,500,Bermuda,N,USD,3977.1,Y,N,Y,ND,N,N,N,ND,N,ND,ND,ND,N,N,N,N,N,-1.37,Seadrill Ltd (SDRL)
68,Seadrill Ltd,SDRL,2016.0,273726.0,ND,BMG7945E1057,5326,Mid,Oil & Gas,Oil & Gas,500,Bermuda,N,USD,3018.1,N,N,N,ND,N,N,N,ND,N,ND,ND,ND,N,N,N,N,N,0.3,Seadrill Ltd (SDRL)
69,Seadrill Ltd,SDRL,2019.0,273726.0,ND,BMG7997W1029,,Mid,Energy,Oil & Gas Drilling,,Norway,,USD,1194.642857,Y,N,Y,ND,N,N,N,ND,N,ND,ND,6,N,N,N,N,N,-10.85077951,Seadrill Ltd (SDRL)
70,Seadrill Ltd,SDRL,2017.0,273726.0,NO996732851,BMG7998G1069,,,Energy,Energy,,Norway,,USD,1748.49477,Y,N,N,ND,N,N,N,ND,N,ND,ND,0,N,N,N,N,N,-4.932296072,Seadrill Ltd (SDRL)
71,Seadrill Ltd,SDRL,2018.0,273726.0,NO996732851,BMG7998G1069,,,Energy,Energy,,Norway,,USD,1095.289294,Y,N,N,ND,N,N,N,ND,N,ND,ND,0,N,N,N,N,N,-6.000926582,Seadrill Ltd (SDRL)
72,Seadrill Ltd,SDRL,2020.0,273726.0,,BMG7998G1069,7996,Large,Oil & Gas,Energy,6010,United Kingdom,N,USD,945.5357143,Y,N,Y,ND,N,N,N,ND,N,ND,ND,9,N,N,N,N,N,-41.45535714,Seadrill Ltd (SDRL)
73,Seadrill Ltd,SDRL,2022.0,273726.0,,BMG7998G1069,7996,Small,Oil & Gas,Energy,6010,Bermuda,, USD,800.5328529,N,N,N,ND,N,N,N,ND,N,ND,ND,1,N,Y,N,N,N,3.684540296,Seadrill Ltd (SDRL)
74,Stolt-Nielsen,SNI,2016.0,16403.0,ND,BMG850801025,1275,Small,Industrials,Marine Shipping,2300,United Kingdom,,USD,1786.642273,Y,Y,Y,ND,N,N,Y,ND,N,ND,ND,2,N,Y,N,N,N,1.948298803,Stolt-Nielsen (SNI)
